*                                                                           KC-
*type   name       id     mass/GeV    width/GeV   max_Dm 3ch 2sp c*t/mm    LUND
*--  ------------++++++++-------------++++++++++++--------++ --+++++++++++++ ---
*
Particles
Lep  gamma             22 0.              0       0        0  2  3.00E26      22
Lep  el+              -11 0.000510999     0       0        3  1  3.00E26       0
Lep  el-               11 0.000510999     0       0       -3  1  3.00E26      11
Lep  nu_e              12 0.              0       0        0  1  3.00E26      12
Lep  mu+              -13 0.1056584       0       0        3  1  658654.       0
Lep  mu-               13 0.1056584       0       0       -3  1  658654.      13
Mes  pi0              111 0.134976        0       0        0  0 2.51826E-5   111
Mes  pi+              211 0.139570        0       0        3  0   7804.5     101
Mes  pi-             -211 0.139570        0       0       -3  0   7804.5       0
Mes  K_L0             130 0.497672        0       0        0  0   15499.27   221
Mes  K+               321 0.49368         0       0        3  0    3713.     103
Mes  K-              -321 0.49368         0       0       -3  0    3713.       0
Bar  n0              2112 0.9395656       0       0        0  1 2.65826E14   332
Bar  p+              2212 0.9382723       0       0        3  1  3.00E26     333
Bar  anti-p-        -2212 0.9382723       0       0       -3  1  3.00E26       0
Mes  K_S0             310 0.497672        0       0        0  0   26.762     222
Mes  eta              221 0.54745         0       0        0  0  1.67E-7     112
Bar  Lambda0         3122 1.115684        0       0        0  1  78.90537    306
Bar  Sigma+          3222 1.18937         0       0        3  1  24.0374     337
Bar  Sigma0          3212 1.19255         0       0        0  1 2.21846E-8   336
Bar  Sigma-          3112 1.197436        0       0       -3  1    44.34     335
Bar  Xi0             3322 1.3149          0       0        0  1    86.94     339
Bar  Xi-             3312 1.32132         0       0       -3  1  49.136      338
Bar  Omega-          3334 1.67245         0       0       -3  3   24.613     370
Bar  anti-n0        -2112 0.9395656       0       0        0  1 2.65826E14     0
Bar  anti-Lambda0   -3122 1.115684        0       0        0  1  78.90537      0
Bar  anti-Sigma-    -3222 1.18937         0       0       -3  1  24.0374       0
Bar  anti-Sigma0    -3212 1.19255         0       0        0  1 2.21846E-8     0
Bar  anti-Sigma+    -3112 1.197436        0       0        3  1    44.34       0
Bar  anti-Xi0       -3322 1.3149          0       0        0  1    86.94       0
Bar  anti-Xi+       -3312 1.32132         0       0        3  1   49.136       0
Bar  anti-Omega+    -3334 1.67245         0       0        3  3   24.613       0
Nuc  deuteron        1011 1.8756134       0       0        3  0  3.00E26       0
Nuc  tritium         1021 2.80925         0       0        3  1  3.00E26       0
Nuc  alpha           1022 3.727417        0       0        6  0  3.00E26       0
Spe  geantino         100 0.              0       0        0  0  3.00E26       0
Nuc  He3             1012 2.80923         0       0        6  1  3.00E26       0
Spe  Cerenkov       20022 0.              0       0        0  2  3.00E26       0
*
* End GEANT
*
* Quarks
*
Par  d                  1 0.0099          0       0       -1  1        0       1
Par  anti-d            -1 0.0099          0       0        1  1        0       0
Par  u                  2 0.0056          0       0        2  1        0       2
Par  anti-u            -2 0.0056          0       0       -2  1        0       0
Par  s                  3 0.199           0       0       -1  1        0       3
Par  anti-s            -3 0.199           0       0        1  1        0       0
Par  c                  4 1.35            0       0        2  1        0       4
Par  anti-c            -4 1.35            0       0       -2  1        0       0
Par  b                  5 5.              0       0       -1  1        0       5
